Locuteur,un,un,un,deux,deux,deux,trois,trois,trois,quatre,quatre,quatre,cinq,cinq,cinq,grand,grand,grand,long,long,long,large,large,large,épais,épais,épais,lourd,lourd,lourd,petit,petit,petit,court,court,court,étroit,étroit,étroit,mince,mince,mince,femme,femme,femme,homme,homme,homme,personne,personne,personne,enfant,enfant,enfant,épouse,épouse,épouse,mari,mari,mari,mère,mère,mère,père,père,père,animal,animal,animal,poisson,poisson,poisson,oiseau,oiseau,oiseau,chien,chien,chien,pou,pou,pou,papillon,papillon,papillon,serpent,serpent,serpent,ver,ver,ver,arbre,arbre,arbre,forêt,forêt,forêt,bâton,bâton,bâton,fruit,fruit,fruit,graine,graine,graine,feuille,feuille,feuille,racine,racine,racine,écorce,écorce,écorce,fleur,fleur,fleur,herbe,herbe,herbe,corde,corde,corde,peau,peau,peau,viande,viande,viande,sang,sang,sang,os,os,os,graisse,graisse,graisse,œuf,œuf,œuf,corne,corne,corne,queue,queue,queue,plume,plume,plume,cheveux,cheveux,cheveux,tête,tête,tête,oreille,oreille,oreille,œil,œil,œil,nez,nez,nez,bouche,bouche,bouche,dent,dent,dent,langue,langue,langue,ongle,ongle,ongle,jambe,jambe,jambe,genou,genou,genou,main,main,main,aile,aile,aile,ventre,ventre,ventre,cou,cou,cou,dos,dos,dos,sein,sein,sein,cœur,cœur,cœur,foie,foie,foie,boire,boire,boire,manger,manger,manger,mordre,mordre,mordre,sucer,sucer,sucer,cracher,cracher,cracher,souffler,souffler,souffler,respirer,respirer,respirer,rire,rire,rire,voir,voir,voir,entendre,entendre,entendre,savoir,savoir,savoir,penser,penser,penser,sentir,sentir,sentir,craindre,craindre,craindre,dormir,dormir,dormir,vivre,vivre,vivre,mourir,mourir,mourir,tuer,tuer,tuer,lutter,lutter,lutter,chasser,chasser,chasser,frapper,frapper,frapper,couper,couper,couper,pousser,pousser,pousser,griffer,griffer,griffer,creuser,creuser,creuser,nager,nager,nager,voler,voler,voler,aller,aller,aller,arriver,arriver,arriver,être allongé,être allongé,être allongé,être assis,être assis,être assis,être debout,être debout,être debout,tourner,tourner,tourner,tomber,tomber,tomber,donner,donner,donner,tenir,tenir,tenir,serrer,serrer,serrer,laver,laver,laver,essuyer,essuyer,essuyer,tendre,tendre,tendre,jeter,jeter,jeter,lier,lier,lier,coudre,coudre,coudre,parler,parler,parler,chanter,chanter,chanter,jouer,jouer,jouer,geler,geler,geler,soleil,soleil,soleil,lune,lune,lune,étoile,étoile,étoile,eau,eau,eau,pluie,pluie,pluie,rivière,rivière,rivière,lac,lac,lac,mer,mer,mer,sel,sel,sel,pierre,pierre,pierre,sable,sable,sable,poussière,poussière,poussière,terre,terre,terre,nuage,nuage,nuage,brouillard,brouillard,brouillard,ciel,ciel,ciel,vent,vent,vent,neige,neige,neige,glace,glace,glace,fumée,fumée,fumée,feu,feu,feu,cendre,cendre,cendre,brûler,brûler,brûler,route,route,route,montagne,montagne,montagne,rouge,rouge,rouge,vert,vert,vert,jaune,jaune,jaune,blanc,blanc,blanc,noir,noir,noir,nuit,nuit,nuit,jour,jour,jour,année,année,année,automne,automne,automne,chaud,chaud,chaud,froid,froid,froid,plein,plein,plein,nouveau,nouveau,nouveau,vieux,vieux,vieux,bon,bon,bon,mauvais,mauvais,mauvais,pourri,pourri,pourri,sale,sale,sale,droit,droit,droit,rond,rond,rond,pointu,pointu,pointu,émoussé,émoussé,émoussé,lisse,lisse,lisse,humide,humide,humide,sec,sec,sec,correct,correct,correct,proche,proche,proche,éloigné,éloigné,éloigné,droit,droit,droit,gauche,gauche,gauche,nom,nom,nom,je,je,,tu,tu,tu,il,il,il,nous,nous,nous,vous,vous,vous,ils,ils,ils,qui ?,qui ?,qui ?,quoi ?,quoi ?,quoi ?,où ?,où ?,où ?,quand ?,quand ?,quand,comment ?,comment ?,comment,non,non,non,autre,autre,autre
T-Agalik,jak,B,Ir,du,B,Ir,s’E,C,Ir,t_SahOr,C,Ir,pandZ,B,Ir,kalOn,E,Ir,mudat,H,Ir,pahan,M,Ir,Gasp,H,Ir,vazmin,C,Ir,xuld,L,Ir,kutOh,F,Ir,taN,N,Ir,bOrik,K,Ir,zan,G,Ir,mard,G,Ir,Odam,A,Ar,gUdak,F,Ir,zan,K,Ir,Su:,I,Ir,mOdar,D,Ir,padar,G,Ir,hajvOn,B,Ar,mOhi,B,Ir,paranda,C,Ir,kut_Suk,B,Ir,SabuS,B,Ir,,,,mOr,B,Ir,kirm,I,Ir,daraxt,B,Ir,b’eSa,J,Ir,t_Sup,F,Ir,m’eva,B,Ir,tuxmi,B,Ir,barg,B,Ir,r’eSa,C,Ir,pustlOq,B,Ir,gUl,A,Ir,sabza,G,Ir,resmOn,G,Ir,pust,B,Ir,guSt,B,Ir,xun,A,Tk,ustuhOn,B,Ir,rawGan,E,Ir,tuxum,C,Ir,SOx,B,Ir,dUm,B,Ir,par_0,D,Ir,muj,C,Ir,sar,C,Ir,guS,B,Ir,t_SaSm,C,Ir,bindi,D,Ir,dahOn,C,Ir,dandOn,B,Ir,zabOn,B,Ir,nOxun,B,Ir,pOj,C,Ir,zOnu,D,Ir,dast,B,Ir,qanOt,A,Tk,iSkam,E,Ir,gardOn,C,Ir,puSt,G,Ir,si:na,G,Ir,dil,B,Ir,dZigar,B,Ir,nuSidan,B,Ir,xurdan,E,Ir,gazidan,F,Ir,makidan,D,Ir,tuf,B,Ir,puf,G,Ir,nafas,B,Ir,xandidan,C,Ir,didan,B,Ir,S2nidan,H,Ir,donistan,C,Ir,fikr=,E,Ar,buj,E,Ir,tarsidan,B,Ir,xobraftan,C,Ir,zindagoni,H,Ir,murdan,B,Ir,kuStan,B,Ir,guStin,G,Ir,SikOr,F,Ir,zadan,J,Ir,bUridan,C,Ir,t’ela,D,Ir,xarOSidan,H,Ir,kOftan,B,Ir,ObbOzi,F,Ir,paridan,B,Ir,raftan,D,Ir,Omadan,B,Ir,xObraftan,C,Ir,SiStan,B,Ir,rOst,B,Ir,t_Sarx,H,Ir,aftodan,H,Ir,dOdan,B,Ir,dOStan,E,Ir,qisi kardan,A,Tk,SuStan,B,Ir,pOk,I,Ir,kaSidan,B,Ir,partOftan,G,Ir,bastan,G,Ir,duxtan,D,Ir,guftan,G,Ir,sarOjidan,P,Ir,bOzi,C,Ir,xunuk,I,Ir,OftOb_0,C,Ir,mOh,B,Ir,sitOra,B,Ir,Ob_0,B,Ir,bOrOn,B,Ir,darjO,B,Ir,kul,B,Tk,bahar,E,Ar,namak,B,Ir,saN,B,Ir,xum,A,Tk,t_SaN,A,Ir,zamin,C,Ir,abr,C,Ir,tuman,A,Tk,OsmOn,A,Ir,SamOl,B,Ar,barf,B,Ir,jax,B,Ir,d}d_0,C,Ir,alOw,C,Ir,xOkiStar,D,Ir,dargerondan,H,Ir,rOh,C,Ir,k}h,C,Ir,s}rx,B,Ir,kabud_0,F,Ir,zard,B,Ir,saf’ed_0,B,Ir,sijOh,B,Ir,Sab,E,Ir,rUz,E,Ir,sOl,B,Ir,,,,garm,D,Ir,xUnuk,C,Ir,p}rrak,G,Ir,naw,C,Ir,k}hna,A,Ir,xub_0,D,Ir,bad_0,E,Ir,pusida,L,Ir,t_Sirkin,I,Ir,tuGri,B,Tk,l}nda,F,Ir,t’ez,I,Ir,kund,E,Ir,s}fta,R,Ir,tar,N,Ir,x}Sk,D,Ir,rOst,H,Ir,nazdik,F,Ir,dur,E,Ir,rOst,B,Ir,t_Sap,B,Ir,nOm,C,Ir,man,B,Ir,tu,B,Ir,On,B,Ir,mO,D,Ir,,,,OnhO,B,Ir,ki,B,Ir,t_Si,F,Ir,kudZO,C,Ir,kaj,D,Ir,t_SitaBr,F,Ir,ne,B,Ir,digar,E,Ir
T-Kamangaron 1,jak,B,Ir,du,B,Ir,se,C,Ir,t_SOr,C,Ir,panZ,B,Ir,kalOn,E,Ir,dur,I,Ir,vas’e,N,Ir,Gasp,H,Ir,vazmin,C,Ir,majda,J,Ir,kytOh,F,Ir,bOrik,M,Ir,tunuk,L,Ir,zajif,I,Ir,mardak,H,Ir,Odam,A,Ar,g2dak,F,Ir,zan,K,Ir,Sawhar,J,Ir,mOdar,D,Ir,padar,G,Ir,hajvOn,B,Ar,mahi,B,Ir,parandan,C,Ir,sak,E,Ir,,,,,,,mOr,B,Ir,kirm,I,Ir,daraxt,B,Ir,urmUn,A,Tk,tajOq,A,Tk,meva,B,Ir,urux,C,Tk,barg_0,B,Ir,r’eSa,C,Ir,p2st,C,Ir,gul,A,Ir,alaf,H,Ir,respO~n,G,Ir,p2st,B,Ir,g2St,B,Ir,xun,A,Tk,ustuhOn,B,Ir,rawGan,E,Ir,txum,C,Ir,SOx,B,Ir,dum,B,Ir,pat,D,Ir,m2j,C,Ir,sar,C,Ir,k2S,B,Ir,t_SaSm,C,Ir,bindi,D,Ir,dahOn,C,Ir,dandO~n,B,Ir,zuvOn,B,Ir,nOxun,B,Ir,pOt_Sa,D,Ir,tizza,A,Tk,dast,B,Ir,qanOt,A,Tk,Skam,E,Ir,gardan,C,Ir,taxtapyst,H,Ir,k2krak,B,Tk,dil,B,Ir,dZigar,B,Ir,n2stan,B,Ir,x2rdan,E,Ir,gazidan,F,Ir,markidan,D,Ir,,,,puf,G,Ir,nafas,B,Ir,xandidan,C,Ir,didan,B,Ir,Synidan,H,Ir,donistan,C,Ir,fkir,E,Ar,b2,E,Ir,tarsidan,B,Ir,xOraftan,C,Ir,zindagi,H,Ir,murdan,B,Ir,kUStan,B,Ir,kuraS,A,Tk,Ow,E,Tk,zadan,J,Ir,buridan,C,Ir,t’ela,D,Ir,xandZOla,J,Ir,koftan,B,Ir,SinO,G,Ir,paridan,B,Ir,raftan,D,Ir,Omadan,B,Ir,xOraftan,C,Ir,SiStan,B,Ir,rOst,B,Ir,t_SarG,H,Ir,aftidan,H,Ir,dOdan,B,Ir,dOStan,E,Ir,skOndan,H,Ir,SyStan,B,Ir,pOk,I,Ir,kaSidan,B,Ir,partoftan,G,Ir,bastan,G,Ir,d2xtan,D,Ir,gaf,G,Ir,aSula,G,Ir,bOzi,C,Ir,jax,J,Ir,OftOb_0,C,Ir,mah,B,Ir,stOra,B,Ir,ob_0,B,Ir,bOrOn,B,Ir,darjO,B,Ir,k2l,B,Tk,bahar,E,Ar,namak,B,Ir,sa~N,B,Ir,kum,A,Tk,t_SaN,A,Ir,zamin,C,Ir,,,,tuman,A,Tk,OsmOn,A,Ir,SamOl,B,Ar,barf,B,Ir,jax,B,Ir,dud_0,C,Ir,alOw,C,Ir,xOkistar,D,Ir,dargιrundan,H,Ir,roh,C,Ir,kyh,C,Ir,surx,B,Ir,zangor,C,Ir,zard_0,B,Ir,saf’ed_0,B,Ir,sijO,B,Ir,Sab_0,E,Ir,rUz,E,Ir,sol,B,Ir,,,,garm,D,Ir,xunuk,C,Ir,pUrra,G,Ir,naw,C,Ir,k2hna,A,Ir,naGz,E,Ir,bad,E,Ir,pusidagi,L,Ir,t_Sirkin,I,Ir,rOst,H,Ir,lynda,F,Ir,t’es,I,Ir,nOt’es,L,Ir,si55Iq,F,Tk,tar,N,Ir,xuSk,D,Ir,rOst,H,Ir,nazdik,F,Ir,dyr,E,Ir,rOst,B,Ir,t_Sap,B,Ir,nOm,C,Ir,man,B,Ir,tu,B,Ir,vaj,C,Ir,mOhOn,E,Ir,SumOjOn,D,Ir,vajhO,C,Ir,ki,B,Ir,t_Si,F,Ir,gudZOnda,D,Ir,kadomvaxt,E,Ir,t_Sxel,G,Ir,n’es,C,Ir,digar,E,Ir
T-Kamangaron 2,jak,B,Ir,du,B,Ir,se,C,Ir,t_SOr,C,Ir,panZ,B,Ir,kalOn,E,Ir,dur,I,Ir,vas’e,N,Ir,Gasp,H,Ir,vazbin,C,Ir,majda,J,Ir,kalta,B,Ir,taNk,N,Ir,tunuk,L,Ir,zajif,I,Ir,mard,G,Ir,Odam,A,Ar,bat_Sa,G,Ir,zan,K,Ir,S2:,I,Ir,bi:,F,Ir,dada,H,Ir,hajvOn,B,Ar,mOhi,B,Ir,par@nda,C,Ir,kut_Suk,B,Ir,SaBuS,B,Ir,,,,mOr,B,Ir,kirm,I,Ir,daraxt,B,Ir,yrmUn,A,Tk,tajOq,A,Tk,m’eva,B,Ir,txum,B,Ir,barg_0,B,Ir,r’eSa,C,Ir,p2stlQq,B,Ir,gyl,A,Ir,alaf,H,Ir,arGamt_Sin,H,Ir,p2st,B,Ir,g2St,B,Ir,xUn,A,Tk,ustuxOn,B,Ir,rauGan,E,Ir,tuxum,C,Ir,SOx,B,Ir,dum,B,Ir,pat,D,Ir,m2j,C,Ir,kalla,B,Tk,g2S’,B,Ir,t_SaSm,C,Ir,binda,D,Ir,dahOn,C,Ir,dandOn,B,Ir,zavOn,B,Ir,nOxUn,B,Ir,pOj,C,Ir,zOnU,D,Ir,dast,B,Ir,qanOq,A,Tk,iSkam,E,Ir,gardan,C,Ir,mijOn,I,Ir,kukraq,B,Tk,dil,B,Ir,dZigar,B,Ir,k2rdan,C,Ir,k2rdan,E,Ir,gazdan,F,Ir,makidan,D,Ir,tuf,B,Ir,puf,G,Ir,nafas,B,Ir,xandidan,C,Ir,didan,B,Ir,fahmidan,G,Ir,dOnistan,C,Ir,2jla,A,Tk,b2,E,Ir,tarsidan,B,Ir,xObraftan,C,Ir,zindagi,H,Ir,murdan,B,Ir,kyStan,B,Ir,dZaN,H,Ir,Ow,E,Tk,zadan,J,Ir,buridan,C,Ir,tela,D,Ir,xandZOla,J,Ir,kOftan,B,Ir,habOzi,F,Ir,paridan,B,Ir,raftan,D,Ir,Omadan,B,Ir,xObraftan,C,Ir,SiStan,B,Ir,rOst,B,Ir,ajnali,A,Tk,Gildan,J,Ir,dodan,B,Ir,dOS’tan,E,Ir,qisi,A,Tk,Sustan,B,Ir,pOk,I,Ir,kaSidan,B,Ir,partoftan,G,Ir,bastan,G,Ir,d2xtan,D,Ir,guftan,G,Ir,aSul@,G,Ir,bOzi,C,Ir,xunuk,I,Ir,OftOb_0,C,Ir,mOh,B,Ir,stOra,B,Ir,Ob_0,B,Ir,bOrOn,B,Ir,dZOj,K,Ir,k2l,B,Tk,bahar,E,Ar,namak,B,Ir,saN,B,Ir,kum,A,Tk,t_SaN,A,Ir,zamin,C,Ir,bulut,A,Tk,tuman,A,Tk,OsmQn,A,Ir,SamOl,B,Ar,barf,B,Ir,jax,B,Ir,dud_0,C,Ir,alOb,C,Ir,xOkistar,D,Ir,syxtan,I,Ir,roh,C,Ir,k2h,C,Ir,surx,B,Ir,zangor,C,Ir,zard,B,Ir,saf’ed_0,B,Ir,sijQ,B,Ir,Sab_0,E,Ir,r2z,E,Ir,sOl,B,Ir,,,,garm,D,Ir,xunuk,C,Ir,pUr,H,Ir,naO,C,Ir,k2hna,A,Ir,naGz,E,Ir,ganda,F,Ir,p@sidagi,L,Ir,t_Sirkin,I,Ir,rOst,H,Ir,l2nda,F,Ir,tez_0,I,Ir,kund_0,E,Ir,silliq,F,Tk,tar,N,Ir,xySk,D,Ir,t2Gri,B,Tk,nazdik,F,Ir,dur,E,Ir,rOst,B,Ir,t_Sap,B,Ir,nOm,C,Ir,man,B,Ir,tu,B,Ir,vaj,C,Ir,mO,D,Ir,SumO,C,Ir,unO,D,Ir,ki,B,Ir,t_Si,F,Ir,gudZOva,E,Ir,kajba,F,Ir,t_Sxel,G,Ir,ne,B,Ir,digar,E,Ir
T-Kaptarhona 1,jak,B,Ir,d2,B,Ir,se,C,Ir,t_SO:r,C,Ir,pandZ,B,Ir,katta,C,Tk,d@rOz,J,Ir,kSOt,O,Ir,Gaus,H,Ir,vazmin,C,Ir,majdahak,K,Ir,kalta,B,Ir,tank,N,Ir,bOrik,K,Ir,zanak,G,Ir,mardak,H,Ir,Odam,A,Ar,kudak,F,Ir,zan,K,Ir,Su:,I,Ir,buBa,F,Ir,dada,H,Ir,hajvUn,B,Ar,maji,B,Ir,paranda,C,Ir,kt_S2k,B,Ir,,,,,,,mor,B,Ir,kir@m,I,Ir,daraxt,B,Ir,urmOn,A,Tk,nauda,T,Ir,meva,B,Ir,urOk,C,Tk,bark,B,Ir,tOm@r,A,Tk,puslQq,B,Ir,g2l,A,Ir,alaf,H,Ir,band,I,Ir,pust,B,Ir,guSt,B,Ir,x@n,A,Tk,ustuhOn,B,Ir,ruhan,E,Ir,tx@m,C,Ir,SOx,B,Ir,d2m,B,Ir,par,D,Ir,mU,C,Ir,sar,C,Ir,guS,B,Ir,t_S@Sm=,C,Ir,b@nni,D,Ir,dahan,C,Ir,dandun,B,Ir,zuhun,B,Ir,nOxun,B,Ir,pot_Sik,D,Ir,zOni,D,Ir,dest,B,Ir,qanOt,A,Tk,Skam,E,Ir,gardan,C,Ir,mijun,I,Ir,qUqrak,B,,dil,B,Ir,dZigar,B,Ir,nuSidan,B,Ir,xurdan,E,Ir,gazidan,F,Ir,makidan,D,Ir,tuf,B,Ir,puf,G,Ir,nafas,B,Ir,xandidan,C,Ir,didan,B,Ir,Snavidan,H,Ir,donistan,C,Ir,uj,A,Tk,bU,E,Ir,tarsidan,B,Ir,xaOraftan,C,Ir,jaSarm@S,B,Tk,m2rdan,B,Ir,kS=tan,B,Ir,kuraSm@S,A,Tk,aO,E,Tk,zadan,J,Ir,bridan,C,Ir,tela,D,Ir,x2r,H,Ir,koftan,B,Ir,haBozi,F,Ir,paridan,B,Ir,raftan,D,Ir,Umadan,B,Ir,xaOraftan,C,Ir,SiStan,B,Ir,t_S@q,E,Ir,f2r,J,Ir,Galtodan,J,Ir,dodan,B,Ir,qapidan,F,Ir,dZaqidan,J,Ir,Suftan,B,Ir,ruftan,K,Ir,kaSidan,B,Ir,partoftan,G,Ir,bastan,G,Ir,duxtan,D,Ir,guftan,G,Ir,aSula,G,Ir,bOzi,C,Ir,jax,J,Ir,aftaw,C,Ir,moh,B,Ir,istora,B,Ir,aw,B,Ir,bOrun,B,Ir,darjO,B,Ir,kUl,B,Tk,deNiz_0,B,Tk,namak,B,Ir,saN,B,Ir,q2m,A,Tk,t_SaN,A,Ir,zamin,C,Ir,,,,tuman,A,Tk,Osmon,A,Ir,SQmOl,B,Ar,barf,B,Ir,jax,B,Ir,tutun,A,Tk,alaw,C,Ir,xOkstar,D,Ir,dargerundan,H,Ir,rah,C,Ir,k2h,C,Ir,s2rx,B,Ir,saBuz_0,G,Ir,zard,B,Ir,saf’ed,B,Ir,sija,B,Ir,Sau,E,Ir,ruz,E,Ir,sOl,B,Ir,,,,gar@m,D,Ir,xenEk,C,Ir,p2r,H,Ir,nau,C,Ir,k2hna,A,Ir,naG@z,E,Ir,ganda,F,Ir,psidagi,L,Ir,t_S@rk,I,Ir,tUGri,B,Tk,kulula,G,Ir,tez,I,Ir,k2nd_0,E,Ir,tEkk@z,A,Tk,tar,N,Ir,qOq,E,Ir,tUGri,B,Tk,qarib_0,G,Ar,dur,E,Ir,rOst,B,Ir,t_Sap,B,Ir,nom,C,Ir,man,B,Ir,t1,B,Ir,vaj,C,Ir,,,,SumO,C,Ir,BajO,C,Ir,kiaj,C,Ir,t_Siaj,G,Ir,dagidZO,F,Ir,kaj,D,Ir,t_Si:,I,Ir,n’est,C,Ir,digaS,E,Ir
T-Kaptarhona 2,jak,B,Ir,dU,B,Ir,sE,C,Ir,t_SahOr,C,Ir,panZ,B,Ir,katta,C,Tk,dur,I,Ir,kuSOt,O,Ir,farbi,K,Ir,vazmin,C,Ir,majda,J,Ir,kalta,B,Ir,tOr,A,Ir,bOrik,K,Ir,zan,G,Ir,mard,G,Ir,Odam,A,Ar,gudak,F,Ir,zan,K,Ir,SUw,I,Ir,modar,D,Ir,padar,G,Ir,hajvUn,B,Ar,mOhi,B,Ir,paranda,C,Ir,sak,E,Ir,bit,A,Tk,,,,mOr,B,Ir,kir@m,I,Ir,daraxt,B,Ir,urmOn,A,Tk,tajOq,A,Tk,meva,B,Ir,uruk,C,Tk,bark,B,Ir,tQm@r,A,Tk,puslOq,B,Ir,gyl,A,Ir,alaf,H,Ir,band,I,Ir,pust,B,Ir,guSt,B,Ir,xun,A,Tk,istuhOn,B,Ir,rUhan,E,Ir,txum,C,Ir,SOx,B,Ir,dum,B,Ir,pat,D,Ir,muj,C,Ir,sar,C,Ir,guS,B,Ir,t_SaS@m,C,Ir,binni,D,Ir,dahan,C,Ir,dandO~n,B,Ir,zabOn,B,Ir,nOxun,B,Ir,pOt_Suk,D,Ir,zOni,D,Ir,dast,B,Ir,kanOt,A,Tk,Skam,E,Ir,gardOn,C,Ir,mijun,I,Ir,sina,G,Ir,qal,C,Ar,dZigar,B,Ir,nuSit,B,Ir,xurdan,E,Ir,gazidan,F,Ir,makidan,D,Ir,tuf,B,Ir,puf,G,Ir,nafas,B,Ir,xandidan,C,Ir,didan,B,Ir,Snavidan,H,Ir,dunistan,C,Ir,fikr,E,Ar,buj,E,Ir,tarsidan,B,Ir,xaOraftan,C,Ir,zindagi,H,Ir,murdan,B,Ir,kuStan,B,Ir,,,,Ow,E,Tk,zadan,J,Ir,b@ridan,C,Ir,tela,D,Ir,xur,H,Ir,koftan,B,Ir,awvozi,F,Ir,paridan,B,Ir,raftan,D,Ir,Omadan,B,Ir,xobraftan,C,Ir,SiStan,B,Ir,t_S@rt,E,Ir,fir,J,Ir,Galtodan,J,Ir,dodan,B,Ir,qapidan,F,Ir,dZOqidan,J,Ir,suStan,B,Ir,ruftan,K,Ir,kaSidan,B,Ir,partoftan,G,Ir,bastan,G,Ir,dUxtan,D,Ir,gab,G,Ir,aSula,G,Ir,bozi,C,Ir,xunuk,I,Ir,oftOb,C,Ir,mOhtOb,C,Ir,istora,B,Ir,Ob,B,Ir,bOrUn,B,Ir,darjO,B,Ir,kul,B,Tk,dzing1z,B,Tk,namak,B,Ir,saN,B,Ir,qum,A,Tk,t_SaN,A,Ir,zamin,C,Ir,abr,C,Ir,tuman,A,Tk,OsmOn,A,Ir,SamOl,B,Ar,barf,B,Ir,jax,B,Ir,dud,C,Ir,aGaw,C,Ir,xokistar,D,Ir,dargerundan,H,Ir,rOh,C,Ir,kuh,C,Ir,surx,B,Ir,kabut,F,Ir,zard,B,Ir,saf’ed,B,Ir,sijOh,B,Ir,Sab,E,Ir,ruz,E,Ir,sOl,B,Ir,,,,garm=,D,Ir,xunuk,C,Ir,pur,H,Ir,nOv,C,Ir,kuhna,A,Ir,naGz,E,Ir,ganda,F,Ir,psidagi,L,Ir,t_Surk,I,Ir,tuGri,B,Tk,dojra,H,Ir,tez,I,Ir,kund,E,Ir,sill@q,F,Tk,tar,N,Ir,qOq,E,Ir,tuGri,B,Tk,qarib_0,G,Ar,dur,E,Ir,rOst,B,Ir,t_Sap,B,Ir,nOm,C,Ir,man,B,Ir,tu,B,Ir,vaj,C,Ir,mO,D,Ir,SumO,C,Ir,vajO,C,Ir,ki,B,Ir,t_Si,F,Ir,darguZO,F,Ir,kaj,D,Ir,istarOn,J,Ir,n’est,C,Ir,digar,E,Ir
T-Kaptarhona 3,jak,B,Ir,d2,B,Ir,se,C,Ir,t_SOr,C,Ir,panZ,B,Ir,katta,C,Tk,dur,I,Ir,kSOt,O,Ir,farbi,K,Ir,vazmin,C,Ir,majdahak,K,Ir,kalta,B,Ir,bor’ik,G,Ir,bor’ik,K,Ir,zanak,J,Ir,mardak,H,Ir,Odam,A,Ar,kudak,F,Ir,zan,K,Ir,Su:,I,Ir,modar,D,Ir,padar,G,Ir,hajwon,B,Ar,mahi,B,Ir,kuS,A,Tk,sag_0,E,Ir,,,,,,,mOr,B,Ir,t_Suwalt_SaN,E,Tk,daraxt,B,Ir,murmUn,A,Tk,tajQq,A,Tk,m’eva,B,Ir,urux,C,Tk,barg,B,Ir,,,,,,,gul,A,Ir,alaf,H,Ir,band,I,Ir,pust,B,Ir,guSt,B,Ir,xun,A,Tk,ustuhun,B,Ir,rUGan,E,Ir,tx@m,C,Ir,SOx,B,Ir,dUm,B,Ir,,,,mu,C,Ir,kalla,B,Tk,guS,B,Ir,t_Sam,C,Ir,b@nn’i,D,Ir,dahan,C,Ir,dandUn,B,Ir,zuhun,B,Ir,noxun,B,Ir,pOt_Sik,D,Ir,zoni,D,Ir,d2st,B,Ir,qanOt,A,Tk,Skam,E,Ir,gardan,C,Ir,mijOn,I,Ir,kukrak,B,Tk,dil,B,Ir,dZigar,B,Ir,nuSit,B,Ir,mixran,G,Ir,megazan,F,Ir,mimakan,D,Ir,tuf,B,Ir,,,,nafas,B,Ir,mexandan,C,Ir,medinam,B,Ir,m’eSnarvam,H,Ir,m’edonam,C,Ir,uj,A,Tk,bu,E,Ir,metarsam,B,Ir,xaOmeram,C,Ir,jaSam,B,Tk,membaram,B,Ir,mekSam,B,Ir,guStin,G,Ir,,,,mezanam,J,Ir,mebaram,C,Ir,tela,D,Ir,xra,H,Ir,mekanom,C,Ir,,,,meparam,B,Ir,meram,D,Ir,meOm,B,Ir,,,,m’eSinam,B,Ir,t_SErt,E,Ir,f@r,J,Ir,,,,dodan,B,Ir,m’eqapam,F,Ir,m’edZ@qam,J,Ir,m’eSum,B,Ir,toza,L,Ir,m’ekaSam,B,Ir,m’epartom,G,Ir,m’ébandom,G,Ir,m’eduzram,D,Ir,gab,G,Ir,aSula,G,Ir,bozi,C,Ir,xan@k,I,Ir,aftQb,C,Ir,mahtQb,C,Ir,istora,B,Ir,aw,B,Ir,bOrUn,B,Ir,kanal,L,Ru,kul,B,Tk,darjO,C,Ir,namak,B,Ir,saN,B,Ir,kUm,A,Tk,t_SaN,A,Ir,zamin,C,Ir,b@l@t,A,Tk,tuman,A,Tk,,,,SamOl,B,Ar,barf,B,Ir,,,,dud_0,C,Ir,alav,C,Ir,xokistar,D,Ir,alav,J,Ir,rah,C,Ir,kUh,C,Ir,s2rx,B,Ir,kabut,F,Ir,zard,B,Ir,saf’Ed_0,B,Ir,sijQ,B,Ir,Saw,E,Ir,rUz,E,Ir,sOl,B,Ir,,,,garm,D,Ir,x@n@k,C,Ir,p@r,H,Ir,naw,C,Ir,k2hna,A,Ir,naGz,E,Ir,ganda,F,Ir,,,,t_S2rk,I,Ir,tuGri,B,Tk,k@lula,G,Ir,tez,I,Ir,khUnd,E,Ir,tikk@z_0,A,Tk,tar,N,Ir,qOq,E,Ir,tuGri,B,Tk,,,,dur,E,Ir,rOst,B,Ir,t_Sap,B,Ir,nUm,C,Ir,man,B,Ir,,,,vajO,C,Ir,mO,D,Ir,SumO,C,Ir,vajO,C,Ir,kiaj,C,Ir,t_Siaj,G,Ir,dargidZO,F,Ir,kaj,D,Ir,istOrO,J,Ir,n’est,C,Ir,digar,E,Ir
